127.0.0.1 - - [23/Oct/2017:11:01:20 -0600] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Oct/2017:11:01:24 -0600] "GET /CallMeMaybeRest/ HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [23/Oct/2017:11:01:24 -0600] "GET /CallMeMaybeRest/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2017:11:01:25 -0600] "GET /CallMeMaybeRest/JS/app.js HTTP/1.1" 200 8335
0:0:0:0:0:0:0:1 - - [23/Oct/2017:11:01:31 -0600] "GET /CallMeMaybeRest/rest/people HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [23/Oct/2017:11:01:35 -0600] "GET /CallMeMaybeRest/rest/people/3 HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [23/Oct/2017:11:01:43 -0600] "GET /CallMeMaybeRest/rest/people/3 HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [23/Oct/2017:11:26:38 -0600] "GET /ngHandsOn/ HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [23/Oct/2017:11:27:53 -0600] "GET /ngHandsOn/ HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [23/Oct/2017:11:27:57 -0600] "GET /ngHandsOn/ HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [23/Oct/2017:11:29:13 -0600] "GET /ngHandsOn/ HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [23/Oct/2017:11:29:22 -0600] "GET /ngHandsOn/ HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [23/Oct/2017:11:30:23 -0600] "GET /ngHandsOn/ HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [23/Oct/2017:11:31:11 -0600] "GET /ngHandsOn/ HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [23/Oct/2017:11:31:14 -0600] "GET /ngHandsOn/ HTTP/1.1" 404 1014
